paper_title,first_author_year,antibody_name,antibody_type,manufacturer,catalog_number,labeling_stage,dilution
Tracking down the molecular architecture of the synaptonemal complex by expansion microscopy,Zwettler 2020,mouse anti-SYCP3,primary,Abcam,ab97672,,
Tracking down the molecular architecture of the synaptonemal complex by expansion microscopy,Zwettler 2020,"Alexa Fluor 647 goat anti-guinea pig IgG (H+L), highly cross-absorbed",secondary,Thermo Fisher Scientific (Invitrogen),A-21450,,
Tracking down the molecular architecture of the synaptonemal complex by expansion microscopy,Zwettler 2020,"goat anti-rabbit IgG (H+L), highly cross-adsorbed, Alexa Fluor 568",secondary,Thermo Fisher Scientific,A-11036,post-expansion,
Tracking down the molecular architecture of the synaptonemal complex by expansion microscopy,Zwettler 2020,Alexa 488 AfﬁPure F(ab')2 goat anti-guinea pig IgG (H+L),secondary,Dianova,106-546-003,post-expansion,
Tracking down the molecular architecture of the synaptonemal complex by expansion microscopy,Zwettler 2020,F(ab')2 goat anti-mouse IgG (H+L) (used for SeTau647 conjugation),secondary,Thermo Fisher Scientific,SA-10225,,
Tracking down the molecular architecture of the synaptonemal complex by expansion microscopy,Zwettler 2020,SeTau647-conjugated F(ab')2 goat anti-mouse IgG (conjugated with SeTau647 NHS),secondary,Thermo Fisher Scientific (antibody) / SETA Biomedicals (dye),SA-10225 (antibody); K9-4149 (dye),post-expansion,
Tracking down the molecular architecture of the synaptonemal complex by expansion microscopy,Zwettler 2020,"F(ab')2 goat anti-rabbit IgG (H+L), cross-adsorbed, Alexa Fluor 647",secondary,Thermo Fisher Scientific,A-21246,,
Tracking down the molecular architecture of the synaptonemal complex by expansion microscopy,Zwettler 2020,"F(ab')2 goat anti-mouse IgG (H+L), cross-adsorbed, Alexa Fluor 488",secondary,Thermo Fisher Scientific,A-11017,,
Ultrastructure expansion microscopy in Trypanosoma brucei,Kalichava 2021,"guinea pig tubulin detecting α-tubulin (AA345, Geneva Antibody Facility)",primary,Geneva Antibody Facility,AA345,pre-expansion,1:2000
Ultrastructure expansion microscopy in Trypanosoma brucei,Kalichava 2021,"guinea pig tubulin detecting α-tubulin (AA345, Geneva Antibody Facility)",primary,Geneva Antibody Facility,AA345,post-expansion,1:500
Ultrastructure expansion microscopy in Trypanosoma brucei,Kalichava 2021,20H5 (anti-centrin monoclonal),primary,Millipore Sigma,04-1624,pre-expansion,1:2000
Ultrastructure expansion microscopy in Trypanosoma brucei,Kalichava 2021,20H5 (anti-centrin monoclonal),primary,Millipore Sigma,04-1624,post-expansion,1:500
Ultrastructure expansion microscopy in Trypanosoma brucei,Kalichava 2021,anti-guinea pig 594,secondary,Abcam,150188,pre-expansion,1:10000
Ultrastructure expansion microscopy in Trypanosoma brucei,Kalichava 2021,anti-guinea pig 594,secondary,Abcam,150188,post-expansion,1:1000
Ultrastructure expansion microscopy in Trypanosoma brucei,Kalichava 2021,anti-guinea pig 647,secondary,Abcam,150187,pre-expansion,1:10000
Ultrastructure expansion microscopy in Trypanosoma brucei,Kalichava 2021,anti-guinea pig 647,secondary,Abcam,150187,post-expansion,1:1000
Ultrastructure expansion microscopy reveals the cellular architecture of budding and fission yeast,,YL1/2 anti-α-tubulin (Abcam ab61610),primary,Abcam,ab61610,post-expansion,1:200
Ultrastructure expansion microscopy reveals the cellular architecture of budding and fission yeast,,anti-Mab414 (mouse) (Abcam ab24609),primary,Abcam,ab24609,post-expansion,1:500
Ultrastructure expansion microscopy reveals the cellular architecture of budding and fission yeast,,anti-γ-tubulin (rabbit) (Abcam ab180595),primary,Abcam,ab180595,post-expansion,"1:10,000"
Ultrastructure expansion microscopy reveals the cellular architecture of budding and fission yeast,,anti-mCherry (rabbit) (Abcam ab167453),primary,Abcam,ab167453,post-expansion,1:250
Ultrastructure expansion microscopy reveals the cellular architecture of budding and fission yeast,,anti-HA (mouse) (Invitrogen 26183),primary,Invitrogen,26183,post-expansion,1:250
Ultrastructure expansion microscopy reveals the cellular architecture of budding and fission yeast,,"anti-centrin (mouse) (Millipore 04-1624, clone 20H5)",primary,Millipore,04-1624,post-expansion,1:250
Ultrastructure expansion microscopy reveals the cellular architecture of budding and fission yeast,,anti-GFP (Torres Pine Ref. TP401),primary,Torres Pine,TP401,post-expansion,1:250
Ultrastructure expansion microscopy reveals the cellular architecture of budding and fission yeast,,goat anti-mouse IgG Alexa Fluor 488 (Invitrogen A11029),secondary,Invitrogen,A11029,post-expansion,1:1000 (S. pombe); 1:500 (S. cerevisiae)
Ultrastructure expansion microscopy reveals the cellular architecture of budding and fission yeast,,goat anti-mouse IgG Alexa Fluor 568 (Invitrogen A11004),secondary,Invitrogen,A11004,post-expansion,1:1000 (S. pombe); 1:500 (S. cerevisiae)
Ultrastructure expansion microscopy reveals the cellular architecture of budding and fission yeast,,goat anti-rabbit IgG Alexa Fluor 488 (Invitrogen A11008),secondary,Invitrogen,A11008,post-expansion,1:1000 (S. pombe); 1:500 (S. cerevisiae)
Ultrastructure expansion microscopy reveals the cellular architecture of budding and fission yeast,,goat anti-rabbit IgG Alexa Fluor 568 (Invitrogen A11036),secondary,Invitrogen,A11036,post-expansion,1:1000 (S. pombe); 1:500 (S. cerevisiae)
Ultrastructure expansion microscopy reveals the cellular architecture of budding and fission yeast,,goat anti-rat IgG Alexa Fluor 647 (Invitrogen A21247),secondary,Invitrogen,A21247,post-expansion,1:1000 (S. pombe); 1:500 (S. cerevisiae)
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,anti-TFAM,primary,Origene,TA332462,pre-expansion,1:100
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,alpha-PRX3,primary,Origene,TA322472,pre-expansion,1:100
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,alpha-Mitofilin (Mic60),primary,Abcam,ab48139,pre-expansion,1:100
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,alpha-GFP (Abcam),primary,Abcam,ab1218,pre-expansion,1:100
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,alpha-GFP (Origene),primary,Origene,SP3005P,pre-expansion,1:100
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,alpha-TOM20,primary,Santa Cruz,sc-17764,pre-expansion,1:25
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,alpha-TIM44,primary,BD Biosciences,612582,pre-expansion,1:50
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,Alexa 488 goat anti-mouse IgG,secondary,Thermo Fisher Scientific,A11017,pre-expansion,1:200
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,Alexa 488 goat anti-rabbit IgG,secondary,Thermo Fisher Scientific,A11070,pre-expansion,1:200
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,ATTO 647N goat anti-rabbit IgG,secondary,Rockland Immunochemicals,610-156-121S,pre-expansion,1:200
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,anti-TFAM-Alexa 546 (self-conjugated TA332462),primary,Origene,TA332462,pre-expansion,
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,anti-TFAM (sc-166965),primary,Santa Cruz Biotechnology,sc-166965,pre-expansion,1:100
Using Expansion Microscopy to Visualize and Characterize the Morphology of Mitochondrial Cristae,Kunz 2020,anti-TFAM-ATTO 643 (self-conjugated TA332462),primary,Origene,TA332462,pre-expansion,
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Goat polyclonal anti-rabbit IgG (H+L) Alexa Fluor 488,secondary,Abcam,150077,pre-expansion,IF (1:500)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Goat polyclonal anti-mouse IgG3 Alexa Fluor 594,secondary,Invitrogen,A-21155,pre-expansion,IF (1:500)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Goat polyclonal anti-chicken CF633,secondary,Biotium,20126,pre-expansion,IF (1:500)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Goat polyclonal anti-rabbit IgG (H+L) Alexa Fluor 594,secondary,Molecular Probes,A11037,pre-expansion,IF (1:400–1:200)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Goat polyclonal anti-mouse IgG (H+L) Alexa Fluor 488,secondary,Molecular Probes,A11029,pre-expansion,IF (1:400–1:200)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Goat polyclonal anti-chicken IgY (H+L) Alexa Fluor 488,secondary,Molecular Probes,A11039,pre-expansion,IF (1:400–1:200)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Mouse monoclonal anti-CD3 (clone UCHT1),primary,STEMCELL Technologies,60011,pre-expansion,IF (1:250)  (also used for coverslip coating at 10 μg/mL)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Rabbit monoclonal anti-α-tubulin (clone EP1332Y),primary,Abcam,ab52866,pre-expansion,IF (1:250)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Mouse monoclonal anti-clathrin heavy chain,primary,Thermo Fisher Scientific,MA1-065,pre-expansion,IF (1:250)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Chicken polyclonal anti-GFP,primary,Aves Labs,GFP-1010,pre-expansion,IF (1:400–1:200)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Chicken polyclonal anti-GFP,primary,Aves Labs,GFP-1020,pre-expansion,1:200
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Rabbit polyclonal anti-NUP153,primary,Abcam,ab84872,pre-expansion,IF (1:200)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Chicken polyclonal anti-Bassoon,primary,Synaptic Systems,141016,pre-expansion,IF (1:300)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Rabbit polyclonal anti-Homer,primary,Abcam,97593,pre-expansion,IF (1:300)
Visualizing cellular and tissue ultrastructure using Ten-fold Robust Expansion Microscopy (TREx),Damstra 2022,Mouse monoclonal IgG3 anti-VGAT,primary,Synaptic Systems,131011,pre-expansion,IF (1:300)
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Rabbit anti-podocin,primary,Sigma-Aldrich,P0372,pre-expansion,
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Goat anti-podocalyxin,primary,R&D Systems Inc.,AF1556,pre-expansion,
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Mouse anti-agrin,primary,DSHB,6D2,pre-expansion,
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Rabbit anti-collagen IV,primary,Abcam,ab6586,pre-expansion,
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Mouse anti-acetylated tubulin,primary,Sigma-Aldrich,T7451,pre-expansion,
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Mouse anti-alpha smooth muscle actin,primary,BioLegend,904601,pre-expansion,
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Guinea pig anti-synaptopodin (internal N-terminus),primary,Progen Biotechnik,GP94-IN,pre-expansion,
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Mouse anti-vimentin,primary,Thermo Fisher Scientific/Invitrogen,18-0052,pre-expansion,
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Donkey anti-mouse (unconjugated),secondary,Jackson Immunoresearch,715-005-151,pre-expansion,
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Donkey anti-rabbit (unconjugated),secondary,Jackson Immunoresearch,711-005-152,pre-expansion,
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Donkey anti-goat (unconjugated),secondary,Jackson Immunoresearch,705-005-147,pre-expansion,
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Donkey anti-rat (unconjugated),secondary,Jackson Immunoresearch,712-545-150,pre-expansion,
"Volumetric, Nanoscale Optical Imaging of Mouse and Human Kidney via Expansion Microscopy",Chozinski 2018,Donkey anti-guinea pig (unconjugated),secondary,Jackson Immunoresearch,706-005-148,pre-expansion,
X10 expansion microscopy enables 25-nm resolution on conventional microscopes,Truckenbrodt 2018,rat monoclonal anti-tubulin,primary,Thermo Fisher Scientific,MA1-80017,pre-expansion,1:100
X10 expansion microscopy enables 25-nm resolution on conventional microscopes,Truckenbrodt 2018,guinea pig polyclonal anti-Synaptophysin,primary,Synaptic Systems,101 004,pre-expansion,1:100
X10 expansion microscopy enables 25-nm resolution on conventional microscopes,Truckenbrodt 2018,rabbit polyclonal anti-Homer1,primary,Synaptic Systems,160 003,pre-expansion,1:100
X10 expansion microscopy enables 25-nm resolution on conventional microscopes,Truckenbrodt 2018,mouse monoclonal anti-Bassoon (SAP7F407),primary,Enzo,SAP7F407,pre-expansion,1:100
X10 expansion microscopy enables 25-nm resolution on conventional microscopes,Truckenbrodt 2018,rabbit polyclonal anti-VDAC,primary,Santa Cruz,sc-98708,pre-expansion,1:100
X10 expansion microscopy enables 25-nm resolution on conventional microscopes,Truckenbrodt 2018,mouse monoclonal anti-PSD95,primary,Thermo Fisher Scientific,MA1-046,pre-expansion,1:100
X10 expansion microscopy enables 25-nm resolution on conventional microscopes,Truckenbrodt 2018,rabbit anti-RIM1,primary,Synaptic Systems,140 003,pre-expansion,1:100
X10 expansion microscopy enables 25-nm resolution on conventional microscopes,Truckenbrodt 2018,donkey anti-rat conjugated to Alexa Fluor 488,secondary,Dianova,712-545-153,pre-expansion,1:100
X10 expansion microscopy enables 25-nm resolution on conventional microscopes,Truckenbrodt 2018,goat anti-rabbit conjugated to Alexa Fluor 546,secondary,Thermo Fisher Scientific,A-11035,pre-expansion,1:100
X10 expansion microscopy enables 25-nm resolution on conventional microscopes,Truckenbrodt 2018,goat anti-rat conjugated to CF647,secondary,Biotium,#20013,pre-expansion,1:100
X10 expansion microscopy enables 25-nm resolution on conventional microscopes,Truckenbrodt 2018,donkey anti-mouse conjugated to CF633,secondary,Biotium,#20124,pre-expansion,1:100
A Universal Labeling Strategy for Nucleic Acids in Expansion Microscopy,Wen 2021,mouse anti-α-tubulin,primary,Abcam,ab7291,pre-expansion,2 μg/mL
Aptamer-Based Cell Nucleus Imaging via Expansion Microscopy,Sun 2022,Histone H1 antibody (AE-4) (sc-8030),primary,"Santa Cruz Biotechnology, Inc.",sc-8030,pre-expansion,1:40
Aptamer-Based Cell Nucleus Imaging via Expansion Microscopy,Sun 2022,m-lgGk BP-CFL 555 (sc-516177),secondary,"Santa Cruz Biotechnology, Inc.",sc-516177,pre-expansion,1:40
Expansion tomography for large volume tissue imaging with nanoscale resolution,CHEN 2021,monoclonal mouse anti–α-tubulin,primary,Sigma,T5168,pre-expansion,1:500
Expansion tomography for large volume tissue imaging with nanoscale resolution,CHEN 2021,Alexa Fluor 546 goat anti-mouse IgG,secondary,Thermo Fisher,A-11003,pre-expansion,1:500
Expansion tomography for large volume tissue imaging with nanoscale resolution,CHEN 2021,rabbit anti-GFP,primary,Abcam,ab290,pre-expansion,1:500
Expansion tomography for large volume tissue imaging with nanoscale resolution,CHEN 2021,goat anti-GFP,primary,Abcam,ab6673,pre-expansion,1:500
Expansion Microscopy of the Enteric Nervous System: A Feasibility Study,Xu 2025,"Rabbit anti-GFAP (Dako, Z0334)",primary,Dako,Z0334,pre-expansion,"1:250 (in PBS + 1% BSA), incubated 48 h at 4°C"
Expansion Microscopy of the Enteric Nervous System: A Feasibility Study,Xu 2025,"Donkey anti-rabbit IgG Alexa Fluor 594 (Abcam, ab150068)",secondary,Abcam,ab150068,pre-expansion,"1:300 (in PBS + 1% BSA), overnight at room temperature"
Differential labelling of human sub-cellular compartments with fluorescent dye esters and expansion microscopy,Sheard 2023,rabbit polyclonal anti-KDEL,primary,Thermo Fisher Scientific,PA1-013,pre-expansion,1:200
Differential labelling of human sub-cellular compartments with fluorescent dye esters and expansion microscopy,Sheard 2023,rabbit monoclonal anti-GM130,primary,Abcam,ab52649,pre-expansion,1:200
Differential labelling of human sub-cellular compartments with fluorescent dye esters and expansion microscopy,Sheard 2023,mouse monoclonal anti-ATP5A1,primary,Thermo Fisher Scientific,43-9800,pre-expansion,1:200
Proximity labeling expansion microscopy (PL-ExM) evaluates interactome labeling techniques,Park 2024,Rabbit anti-TOMM20,primary,Santa Cruz,sc-11415,pre-expansion,1:250
Proximity labeling expansion microscopy (PL-ExM) evaluates interactome labeling techniques,Park 2024,"Rat anti-a-TUBULIN, tyrosinated, clone YL1/2",primary,Millipore Sigma,MAB1864-I,pre-expansion,1:5000
Proximity labeling expansion microscopy (PL-ExM) evaluates interactome labeling techniques,Park 2024,Rabbit anti-clathrin heavy-chain,primary,Abcam,ab21679,pre-expansion,1:100
Proximity labeling expansion microscopy (PL-ExM) evaluates interactome labeling techniques,Park 2024,Rabbit anti-ARL13B,primary,Proteintech,17711-1-AP,pre-expansion,1:100
Proximity labeling expansion microscopy (PL-ExM) evaluates interactome labeling techniques,Park 2024,Mouse anti-CEP164,primary,Santa Cruz,sc-515403,pre-expansion,1:100
Proximity labeling expansion microscopy (PL-ExM) evaluates interactome labeling techniques,Park 2024,Chicken anti-GFAP,primary,Abcam,ab4674,pre-expansion,1:1000
Proximity labeling expansion microscopy (PL-ExM) evaluates interactome labeling techniques,Park 2024,Rabbit anti-GFP (D5.1),primary,Cell Signaling,2956,pre-expansion,1:200
Proximity labeling expansion microscopy (PL-ExM) evaluates interactome labeling techniques,Park 2024,AffiniPure Goat anti-Rabbit IgG,secondary,Jackson ImmunoResearch,111-005-144,pre-expansion,"3 mg mL^-1, 1:100"
Proximity labeling expansion microscopy (PL-ExM) evaluates interactome labeling techniques,Park 2024,Goat anti-Mouse IgG,secondary,Jackson ImmunoResearch,115-005-146,pre-expansion,1:100
Proximity labeling expansion microscopy (PL-ExM) evaluates interactome labeling techniques,Park 2024,Goat anti-Rat IgG,secondary,Jackson ImmunoResearch,112-005-167,pre-expansion,1:100
Proximity labeling expansion microscopy (PL-ExM) evaluates interactome labeling techniques,Park 2024,ImmPRESS HRP Horse anti-Goat IgG Polymer Detection Kit,secondary,Vector Laboratories,MP-7405,pre-expansion,no dilution
Proximity labeling expansion microscopy (PL-ExM) evaluates interactome labeling techniques,Park 2024,Goat anti-Horse HRP,secondary,Vector Laboratories,MP-7405,pre-expansion,no dilution
Super-resolution co-imaging of proteins and nucleic acids on expansion microscopy,Yuan 2025,anti-b-tubulin mouse mAb,primary,Yeason Biotech,30301ES60,pre-expansion,
Super-resolution co-imaging of proteins and nucleic acids on expansion microscopy,Yuan 2025,anti-b-actin mouse mAb,primary,Yeason Biotech,30101ES50,pre-expansion,
Super-resolution co-imaging of proteins and nucleic acids on expansion microscopy,Yuan 2025,anti-Golgin-97 rabbit pAb,primary,Abcam,ab84340,pre-expansion,
Super-resolution co-imaging of proteins and nucleic acids on expansion microscopy,Yuan 2025,anti-Fibrillarin rabbit pAb,primary,ABclonal Biotech,A13490,pre-expansion,
Super-resolution co-imaging of proteins and nucleic acids on expansion microscopy,Yuan 2025,anti-TOMM20 rabbit pAb,primary,ZEN-BIOSCIENCE,382451,pre-expansion,
Super-resolution co-imaging of proteins and nucleic acids on expansion microscopy,Yuan 2025,Alexa Fluor 488 AffiniPure goat anti-rabbit IgG(H + L),secondary,Yeason Biotech,33106ES60,pre-expansion,
Super-resolution co-imaging of proteins and nucleic acids on expansion microscopy,Yuan 2025,Alexa Fluor 488 AffiniPure goat anti-mouse IgG(H + L),secondary,Yeason Biotech,33206ES60,pre-expansion,
Super-resolution co-imaging of proteins and nucleic acids on expansion microscopy,Yuan 2025,Atto 647N goat anti-rabbit IgG(H + L),secondary,Sigma-Aldrich,40839,pre-expansion,
Expansion microscopy reveals subdomains in C. elegans germ granules,Suen 2023,anti-mouse GFP,primary,Thermo Fisher Scientific,A-11120,pre-expansion,1:500
Expansion microscopy reveals subdomains in C. elegans germ granules,Suen 2023,anti-rabbit Alexa Fluor 594 secondary antibody,secondary,Thermo Fisher Scientific,A11012,pre-expansion,1:500
Expansion microscopy reveals subdomains in C. elegans germ granules,Suen 2023,anti-mouse Atto 647 secondary antibody,secondary,Sigma-Aldrich,50185,pre-expansion,1:160
Visualisation of Euglena gracilis organelles and cytoskeleton using expansion microscopy,Konupkov´a 2025,anti-α-tubulin (anti-αTub; AA345),primary,ABCD Antibodies,AA345,post-expansion,1:300
Visualisation of Euglena gracilis organelles and cytoskeleton using expansion microscopy,Konupkov´a 2025,anti-Rubisco activase (anti-RCA; AS10 700),primary,Agrisera,AS10 700,post-expansion,1:300
Visualisation of Euglena gracilis organelles and cytoskeleton using expansion microscopy,Konupkov´a 2025,Alexa Fluor 488 goat anti-rabbit IgG,secondary,Invitrogen,A-11008,post-expansion,1:300
Visualisation of Euglena gracilis organelles and cytoskeleton using expansion microscopy,Konupkov´a 2025,Alexa Fluor 488 goat anti-guinea pig IgG,secondary,Invitrogen,A-11073,post-expansion,1:300
Visualisation of Euglena gracilis organelles and cytoskeleton using expansion microscopy,Konupkov´a 2025,Alexa Fluor 594 goat anti-guinea pig IgG,secondary,Invitrogen,A-11076,post-expansion,1:300
The components of an electrical synapse as revealed by expansion microscopy of a single synaptic contact,Cárdenas-García 2024,mouse IgG1 anti-Cx35/36,primary,Millipore,MAB3045,pre-expansion,1:250
The components of an electrical synapse as revealed by expansion microscopy of a single synaptic contact,Cárdenas-García 2024,mouse IgG1 anti-ZO1,primary,Invitrogen,33-9100,pre-expansion,1:200
The components of an electrical synapse as revealed by expansion microscopy of a single synaptic contact,Cárdenas-García 2024,mouse IgG1 anti-N-cadherin,primary,BD Transduction Laboratories,610920,pre-expansion,1:50
The components of an electrical synapse as revealed by expansion microscopy of a single synaptic contact,Cárdenas-García 2024,mouse IgG1 anti-beta-catenin,primary,Sigma,C7207,pre-expansion,1:100
The components of an electrical synapse as revealed by expansion microscopy of a single synaptic contact,Cárdenas-García 2024,rabbit IgG anti-GluR2/3,primary,Millipore,07-598,pre-expansion,1:200
The components of an electrical synapse as revealed by expansion microscopy of a single synaptic contact,Cárdenas-García 2024,chicken IgY anti-GFP,primary,Abcam,ab13970,pre-expansion,1:200
The components of an electrical synapse as revealed by expansion microscopy of a single synaptic contact,Cárdenas-García 2024,mouse IgG- Alexa Fluor 546,secondary,Invitrogen,A11030,pre-expansion,1:200
The components of an electrical synapse as revealed by expansion microscopy of a single synaptic contact,Cárdenas-García 2024,mouse IgG- Alexa Fluor 647,secondary,Invitrogen,A21235,pre-expansion,1:200
The components of an electrical synapse as revealed by expansion microscopy of a single synaptic contact,Cárdenas-García 2024,rabbit IgG- Alexa Fluor 546,secondary,Invitrogen,A11010,pre-expansion,1:200
The components of an electrical synapse as revealed by expansion microscopy of a single synaptic contact,Cárdenas-García 2024,rabbit IgG- Atto 647N,secondary,Sigma-Aldrich,40839,pre-expansion,1:200
The components of an electrical synapse as revealed by expansion microscopy of a single synaptic contact,Cárdenas-García 2024,mouse IgG- Atto 647N,secondary,Sigma-Aldrich,50185,pre-expansion,1:200
The components of an electrical synapse as revealed by expansion microscopy of a single synaptic contact,Cárdenas-García 2024,chicken IgY- Alexa Fluor 488,secondary,Invitrogen,A11039,pre-expansion,1:200
Evaluation of Direct Grafting Strategies via Trivalent Anchoring for Enabling Lipid Membrane and Cytoskeleton Staining in Expansion Microscopy,Wen 2020,mouse anti α-tubulin,primary,Abcam,ab7291,pre-expansion,2 μg/mL
Evaluation of Direct Grafting Strategies via Trivalent Anchoring for Enabling Lipid Membrane and Cytoskeleton Staining in Expansion Microscopy,Wen 2020,Donkey Anti-Mouse IgG (DNA-conjugated secondary antibody),secondary,Abcam,ab6707,pre-expansion,10 μg/mL (or 1:100)
Expansion Microscopy Provides Nanoscale Insight into Nucleolar Reorganization and Nuclear Foci Formation during Nucleolar Stress,Alley 2025,Rabbit Polyclonal Fibrillarin antibody,primary,Abcam,ab5821,pre-expansion,1:500
Expansion Microscopy Provides Nanoscale Insight into Nucleolar Reorganization and Nuclear Foci Formation during Nucleolar Stress,Alley 2025,mouse monoclonal RPA194 Antibody C-1,primary,Santa Cruz Biotechnology,sc-48385,pre-expansion,1:500
Expansion Microscopy Provides Nanoscale Insight into Nucleolar Reorganization and Nuclear Foci Formation during Nucleolar Stress,Alley 2025,NPM1 antibody (FC-61991),primary,Thermo Fisher,FC-61991,pre-expansion,
Expansion Microscopy Provides Nanoscale Insight into Nucleolar Reorganization and Nuclear Foci Formation during Nucleolar Stress,Alley 2025,Goat Anti-Mouse IgG H&L Alexa Fluor 488,secondary,Abcam,ab150113,pre-expansion,1:1000
Expansion Microscopy Provides Nanoscale Insight into Nucleolar Reorganization and Nuclear Foci Formation during Nucleolar Stress,Alley 2025,"Goat Anti-Rabbit IgG (H+L) Cross-Adsorbed Secondary Antibody, Alexa Fluor 594",secondary,Thermo Fisher Scientific,A-11012,pre-expansion,1:1000
Expansion Microscopy Provides Nanoscale Insight into Nucleolar Reorganization and Nuclear Foci Formation during Nucleolar Stress,Alley 2025,Goat anti-Mouse IgG (H+L) Highly Cross-Adsorbed Alexa Fluor 594,secondary,Thermo Fisher Scientific,A-11032,pre-expansion,1:1000
Expansion Microscopy with a Thermally Adjustable Expansion Factor Using Thermoresponsive Biospecimen−Hydrogel Hybrids,Kang 2021,mouse monoclonal anti-α-tubulin,primary,Sigma-Aldrich,T6199,pre-expansion,1:300−1:400
Expansion Microscopy with a Thermally Adjustable Expansion Factor Using Thermoresponsive Biospecimen−Hydrogel Hybrids,Kang 2021,rabbit anti-β-tubulin (anti-β-tubulin antibody [EPR16774]),primary,Abcam,ab179513,pre-expansion,1:300−1:400
Expansion Microscopy with a Thermally Adjustable Expansion Factor Using Thermoresponsive Biospecimen−Hydrogel Hybrids,Kang 2021,Alexa Fluor 594-conjugated rabbit polyclonal anti-GFP,primary,Thermo Scientific,A-21312,pre-expansion,
Expansion Microscopy with a Thermally Adjustable Expansion Factor Using Thermoresponsive Biospecimen−Hydrogel Hybrids,Kang 2021,antinuclear pore complex (NPC) protein antibody [Mab414],primary,Abcam,ab24609,pre-expansion,1:1000
Expansion Microscopy with a Thermally Adjustable Expansion Factor Using Thermoresponsive Biospecimen−Hydrogel Hybrids,Kang 2021,recombinant anti-CD44 antibody [EPR18668],primary,Abcam,ab189524,pre-expansion,1:400
Expansion Microscopy with a Thermally Adjustable Expansion Factor Using Thermoresponsive Biospecimen−Hydrogel Hybrids,Kang 2021,Alexa Fluor 488-conjugated goat anti-mouse IgG H&L,secondary,Abcam,ab150113,pre-expansion,1:300−1:400 (cells); 1:500 (tissue)
